"","Code","Division.Name","Region","Division.NBCT.Count","Division.Perc","FY22.Avg.Salary","Educ.Expend","Expend.Per.Capita","Total.Expend","Median.Household.Income","Elementary.Teaching.Positions","End.of.Year.Average.Daily.Membership.K.7","Pupil.Teacher.Ratio.K.7","Secondary.Teaching.Positions","End.of.Year.Average.Daily.Membership.8.12","Pupil.Teacher.Ratio.8.12","Teaching.Postions","District.Type","Income.cat","District.Perc.NBCT"
"91",95,"Westmoreland County","Northern Neck",0,0,59339,"26825601",1451.84,"52603662",56647,82.6,885.75862,10.72,57.65,504.75855,8.76,140.25,"1","Lower Middle Class",0
"92",96,"Wise County","Southwest Virginia",1,0.000568828,51425,"78251980",2165.85,"131091971",47541,593.2,3431.06064,5.78,182.49,1989.06112,10.9,775.69,"1","Lower Middle Class",0.00128917479921102
"93",97,"Wythe County","Southwest Virginia",2,0.001137656,49966,"49433228",1747.37,"94633334",53921,198.58,2220.87714,11.18,117.33,1411.74586,12.03,315.91,"1","Lower Middle Class",0.00633091703333228
"94",98,"York County","Tidewater",21,0.011945392,62990,"166769896",2380.9,"276032473",105154,576.99,7603.46595,13.18,378.26,4598.08813,12.16,955.25,"1","Upper Middle Class",0.0219837738811829
"95",101,"Alexandria","Northern Virginia",69,0.039249147,82972,"334704685",2098.9,"793390942",113179,714.7,9894.09706,13.84,582.08,5593.26121,9.61,1296.78,"2","Upper Middle Class",0.0532087169758941
"96",102,"Bristol","Southwest Virginia",1,0.000568828,61107,"37410208",2172.61,"94304581",45250,119.25,1311.84286,11,71.37,791.06193,11.08,190.62,"2","Lower Middle Class",0.00524603924037352
"97",103,"Buena Vista","Valley",0,0,53477,"13343727",2009.29,"30310689",48783,38,494.96111,13.03,28,321.89594,11.5,66,"2","Lower Middle Class",0
"98",104,"Charlottesville","Valley",5,0.002844141,66283,"99835657",1955.64,"276147597",67177,252,2585.97708,10.26,161.95,1515.27421,9.36,413.95,"2","Middle Class",0.0120787534726416
"99",106,"Colonial Heights","Central Virginia",2,0.001137656,60342,"44701186",2460.16,"84913953",72216,105.33,1681.1047,15.96,126.86,1029.45936,8.11,232.19,"2","Middle Class",0.00861363538481416
"100",108,"Danville","Western Virginia",4,0.002275313,55049,"106255614",2494.85,"227705878",41484,253.82,3324.09929,13.1,155.81,1965.59343,12.62,409.63,"2","Lower Middle Class",0.00976490979664575
"101",109,"Falls Church","Northern Virginia",10,0.005688282,85849,"60470056",4125.4,"100349710",164536,128.64,1392.47224,10.82,88.85,1061.79998,11.95,217.49,"2","Upper Class",0.0459791254770334
"102",110,"Fredericksburg","Northern Neck",1,0.000568828,59536,"60180809",2150.7,"149854827",83445,189.5,2355.91358,12.43,88.5,1234.37366,13.95,278,"2","Middle Class",0.00359712230215827
"103",111,"Galax","Southwest Virginia",1,0.000568828,48682,"18617093",2770.4,"40411111",44612,73.09,818.86518,11.2,33.75,483.62081,14.33,106.84,"2","Lower Middle Class",0.00935979034069637
"104",112,"Hampton","Tidewater",33,0.018771331,57929,"296213734",2159.81,"654994463",64430,923.73,11433.24116,12.38,632.69,7266.84242,11.49,1556.42,"2","Middle Class",0.0212025031803755
"105",113,"Harrisonburg","Valley",5,0.002844141,59664,"98736842",1801.44,"189553742",56050,355.1,3958.35219,11.15,179.5,2398.66496,13.36,534.6,"2","Lower Middle Class",0.00935278713056491
"106",114,"Hopewell","Central Virginia",0,0,56762,NA,NA,NA,50661,204.94,2248.59102,10.97,108.34,1369.01711,12.64,313.28,"2","Lower Middle Class",0
"107",115,"Lynchburg","Valley",0,0,51675,"124092210",1543.53,"302531703",56243,419.5,4498.85877,10.72,227.5,2739.93221,12.04,647,"2","Lower Middle Class",0
"108",116,"Martinsville","Western Virginia",4,0.002275313,61861,"28438520",2108.9,"70300127",39127,90.75,1007.57786,11.1,58.64,671.48329,11.45,149.39,"2","Lower Middle Class",0.0267755539192717
"109",117,"Newport News","Tidewater",25,0.014220705,61861,"427562644",2295.68,"819556798",63355,972.25,15620.74306,16.07,639.45,9431.25705,14.75,1611.7,"2","Middle Class",0.0155115716324378
"110",118,"Norfolk","Tidewater",17,0.00967008,63851,"428523990",1800.48,"1029856460",60998,1265.08,16094.94792,12.72,645.42,8938.53043,13.85,1910.5,"2","Middle Class",0.00889819419000262
"111",119,"Norton","Southwest Virginia",0,0,54238,NA,NA,NA,36974,43.2,464.75003,10.76,23.25,306.81665,13.2,66.45,"2","Lower Middle Class",0
"112",120,"Petersburg","Central Virginia",0,0,52791,NA,NA,NA,46930,155.9,2508.07717,16.09,147.9,1278.37738,8.64,303.8,"2","Lower Middle Class",0
"113",121,"Portsmouth","Tidewater",3,0.001706485,57486,"188188642",1921.96,"388169294",57154,536.06,7939.31247,14.81,347.09,4361.603,12.57,883.15,"2","Lower Middle Class",0.00339693143860046
"114",122,"Radford","Southwest Virginia",1,0.000568828,54165,"29470909",1674.1,"68622407",51039,71.89,1632.08402,22.7,52.49,1935.42541,36.87,124.38,"2","Lower Middle Class",0.00803987779385753
"115",123,"Richmond","Central Virginia",40,0.022753129,55361,"483438090",2133.35,"1248394883",59606,1086.2,13138.24374,12.1,1055.3,6499.25516,6.16,2141.5,"2","Middle Class",0.0186784963810413
"116",124,"Roanoke","Western Virginia",13,0.007394767,59871,"246453230",2464.26,"490486559",51523,756.16,8091.83636,10.7,335.45,4625.27342,13.79,1091.61,"2","Lower Middle Class",0.0119090151244492
"117",126,"Staunton","Valley",1,0.000568828,56182,"44826726",1740.84,"99532823",59731,135.11,1527.28904,11.3,77.6,977.49721,12.6,212.71,"2","Middle Class",0.00470123642517982
"118",127,"Suffolk","Tidewater",4,0.002275313,64482,"196474347",2082.97,"409260176",87758,601.97,8296.54294,13.78,388.43,5379.52477,13.85,990.4,"2","Middle Class",0.00403877221324717
"119",128,"Virginia Beach","Tidewater",133,0.075654152,64011,"969785089",2110.66,"1829313735",87544,2891.88,37893.06596,13.1,1782.75,24736.68692,13.88,4674.63,"2","Middle Class",0.0284514496334469
"120",130,"Waynesboro","Valley",2,0.001137656,52894,"49466787",2228.64,"97447909",52519,164.65,1716.69538,10.43,81.55,985.89947,12.09,246.2,"2","Lower Middle Class",0.00812347684809098
"121",131,"Williamsburg-James City County","Tidewater",51,0.029010239,68955,"13833991",863.71,"47954330",66815,515.32,6611.36836,12.83,291.5,4430.63101,15.2,806.82,"2","Middle Class",0.0632111251580278
"122",132,"Winchester","Northern Virginia",1,0.000568828,55468,"72984806",2595.48,"149139595",62495,212.71,2374.24586,11.16,156.08,1644.67033,10.54,368.79,"2","Middle Class",0.00271157027034356
"123",135,"Franklin","Tidewater",0,0,56270,"19944694",2438.23,"45609535",57537,47.2,585.92283,12.41,36.24,362.54143,10,83.44,"2","Lower Middle Class",0
"124",136,"Chesapeake","Tidewater",23,0.013083049,56270,"614867430",2465.17,"1039464839",92703,1665.55,23266.95638,13.97,1221.8,15904.65616,13.02,2887.35,"2","Middle Class",0.00796578177221328
"125",137,"Lexington","Valley",1,0.000568828,50277,"8151497",1089.92,"22674406",93651,32.51,431.78523,13.28,15.17,50.32202,3.32,47.68,"2","Middle Class",0.0209731543624161
"126",139,"Salem","Western Virginia",24,0.013651877,62718,"54861941",2164.52,"114,442,598",68402,173.86,2070.53102,11.91,121.08,1511.29941,12.48,294.94,"2","Middle Class",0.0813724825388215
"127",142,"Poquoson","Tidewater",3,0.001706485,55716,"27473966",2204.97,"47546312",114503,83.08,1205.65,14.51,64.1,772.05555,12.04,147.18,"2","Upper Middle Class",0.0203832042397065
"128",143,"Manassas","Northern Virginia",9,0.005119454,74788,"123823195",2894.96,"209113020",110559,339.59,4496.70073,13.24,192.38,2846.96628,14.8,531.97,"2","Upper Middle Class",0.0169182472695829
"129",144,"Manassas Park","Northern Virginia",3,0.001706485,66761,"49060656",2849.22,"81395430",91673,130.56,1883.21897,14.42,105.36,1376.73026,13.07,235.92,"2","Middle Class",0.0127161749745676
"130",202,"Colonial Beach","Northern Neck",0,0,48617,"9,886,808",2529.89,"16026629",NA,33.65,333.83618,9.92,21.56,176.30511,8.18,55.21,"3",NA,0
"131",207,"West Point","Northern Neck",1,0.000568828,49796,"11834057",3466.33,"16190012",NA,40,458.74137,11.47,37,303.02871,8.19,77,"3",NA,0.012987012987013
